category,group,measure,year,value,chart
All,All,per capita annuity,2015.0,58554.443,mean.income
Age,62-69,per capita annuity,2015.0,60858.023,mean.income
Age,70-74,per capita annuity,2015.0,61176.329,mean.income
Age,75-79,per capita annuity,2015.0,54678.636,mean.income
Age,80-84,per capita annuity,2015.0,58508.621,mean.income
Age,85+,per capita annuity,2015.0,47808.796,mean.income
Sex,Female,per capita annuity,2015.0,53757.845,mean.income
Sex,Male,per capita annuity,2015.0,64357.878,mean.income
Education,1.High School Dropout,per capita annuity,2015.0,24845.604,mean.income
Education,2.High School Graduate,per capita annuity,2015.0,42674.775,mean.income
Education,3.Some College,per capita annuity,2015.0,60277.845,mean.income
Education,4.College Graduate,per capita annuity,2015.0,99715.435,mean.income
Race Ethnicity,1.White,per capita annuity,2015.0,66787.515,mean.income
Race Ethnicity,2.Black,per capita annuity,2015.0,31830.638,mean.income
Race Ethnicity,3.Hispanic,per capita annuity,2015.0,26726.586,mean.income
Race Ethnicity,4.Other,per capita annuity,2015.0,49383.681,mean.income
Marital Status,Married,per capita annuity,2015.0,60854.956,mean.income
Marital Status,Widowed,per capita annuity,2015.0,55726.52,mean.income
Marital Status,Divorced,per capita annuity,2015.0,57982.251,mean.income
Marital Status,Single,per capita annuity,2015.0,48775.959,mean.income
Shared Work Years,0-9,per capita annuity,2015.0,9097.792,mean.income
Shared Work Years,10-14,per capita annuity,2015.0,23433.577,mean.income
Shared Work Years,15-19,per capita annuity,2015.0,30494.769,mean.income
Shared Work Years,20-24,per capita annuity,2015.0,34589.966,mean.income
Shared Work Years,25-29,per capita annuity,2015.0,44154.719,mean.income
Shared Work Years,30-34,per capita annuity,2015.0,50060.523,mean.income
Shared Work Years,35-39,per capita annuity,2015.0,55687.863,mean.income
Shared Work Years,40+,per capita annuity,2015.0,79664.624,mean.income
Own Work Years,0-9,per capita annuity,2015.0,23010.365,mean.income
Own Work Years,10-14,per capita annuity,2015.0,31378.977,mean.income
Own Work Years,15-19,per capita annuity,2015.0,38054.827,mean.income
Own Work Years,20-24,per capita annuity,2015.0,37569.117,mean.income
Own Work Years,25-29,per capita annuity,2015.0,42895.027,mean.income
Own Work Years,30-34,per capita annuity,2015.0,49796.47,mean.income
Own Work Years,35-39,per capita annuity,2015.0,54564.537,mean.income
Own Work Years,40+,per capita annuity,2015.0,75976.366,mean.income
Shared Income Quintile,bottom quintile,per capita annuity,2015.0,10556.084,mean.income
Shared Income Quintile,2nd quintile,per capita annuity,2015.0,23805.032,mean.income
Shared Income Quintile,3rd quintile,per capita annuity,2015.0,38058.462,mean.income
Shared Income Quintile,4th quintile,per capita annuity,2015.0,60662.993,mean.income
Shared Income Quintile,top quintile,per capita annuity,2015.0,159705.953,mean.income
Shared Lifetime Earnings Quintile,bottom quintile,per capita annuity,2015.0,17664.355,mean.income
Shared Lifetime Earnings Quintile,2nd quintile,per capita annuity,2015.0,35327.95,mean.income
Shared Lifetime Earnings Quintile,3rd quintile,per capita annuity,2015.0,46203.607,mean.income
Shared Lifetime Earnings Quintile,4th quintile,per capita annuity,2015.0,64702.907,mean.income
Shared Lifetime Earnings Quintile,top quintile,per capita annuity,2015.0,128880.853,mean.income
Homeownership,Home Owner,per capita annuity,2015.0,65952.644,mean.income
Homeownership,Renter,per capita annuity,2015.0,29188.465,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,per capita annuity,2015.0,11736.044,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,per capita annuity,2015.0,23719.789,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,per capita annuity,2015.0,42531.285,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,per capita annuity,2015.0,96645.023,mean.income
Per Capita Retirement Account Assets ($2015),<0k,per capita annuity,2015.0,28880.359,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,per capita annuity,2015.0,37952.351,mean.income
Per Capita Retirement Account Assets ($2015),5k - 25k,per capita annuity,2015.0,43158.091,mean.income
Per Capita Retirement Account Assets ($2015),25k +,per capita annuity,2015.0,87906.557,mean.income
Per Capita Financial Assets ($2015),<0k,per capita annuity,2015.0,14249.264,mean.income
Per Capita Financial Assets ($2015),0k -  5k,per capita annuity,2015.0,24920.484,mean.income
Per Capita Financial Assets ($2015),5k - 25k,per capita annuity,2015.0,34356.042,mean.income
Per Capita Financial Assets ($2015),25k +,per capita annuity,2015.0,83124.972,mean.income
Per Capita Financial + Retirement Account Assets ($2015),<0k,per capita annuity,2015.0,13243.806,mean.income
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,per capita annuity,2015.0,18841.238,mean.income
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,per capita annuity,2015.0,24578.843,mean.income
Per Capita Financial + Retirement Account Assets ($2015),25k +,per capita annuity,2015.0,75041.654,mean.income
All,All,per capita cash,2015.0,37885.875,mean.income
Age,62-69,per capita cash,2015.0,41801.945,mean.income
Age,70-74,per capita cash,2015.0,41122.833,mean.income
Age,75-79,per capita cash,2015.0,34867.375,mean.income
Age,80-84,per capita cash,2015.0,30912.487,mean.income
Age,85+,per capita cash,2015.0,24036.445,mean.income
Sex,Female,per capita cash,2015.0,35706.198,mean.income
Sex,Male,per capita cash,2015.0,40523.08,mean.income
Education,1.High School Dropout,per capita cash,2015.0,17846.431,mean.income
Education,2.High School Graduate,per capita cash,2015.0,29879.529,mean.income
Education,3.Some College,per capita cash,2015.0,41612.34,mean.income
Education,4.College Graduate,per capita cash,2015.0,58252.783,mean.income
Race Ethnicity,1.White,per capita cash,2015.0,42004.336,mean.income
Race Ethnicity,2.Black,per capita cash,2015.0,26933.724,mean.income
Race Ethnicity,3.Hispanic,per capita cash,2015.0,21039.643,mean.income
Race Ethnicity,4.Other,per capita cash,2015.0,30422.34,mean.income
Marital Status,Married,per capita cash,2015.0,40232.618,mean.income
Marital Status,Widowed,per capita cash,2015.0,34148.626,mean.income
Marital Status,Divorced,per capita cash,2015.0,36051.301,mean.income
Marital Status,Single,per capita cash,2015.0,33419.851,mean.income
Shared Work Years,0-9,per capita cash,2015.0,7457.109,mean.income
Shared Work Years,10-14,per capita cash,2015.0,14782.823,mean.income
Shared Work Years,15-19,per capita cash,2015.0,19032.807,mean.income
Shared Work Years,20-24,per capita cash,2015.0,22190.387,mean.income
Shared Work Years,25-29,per capita cash,2015.0,26350.611,mean.income
Shared Work Years,30-34,per capita cash,2015.0,31149.486,mean.income
Shared Work Years,35-39,per capita cash,2015.0,36768.795,mean.income
Shared Work Years,40+,per capita cash,2015.0,52060.67,mean.income
Own Work Years,0-9,per capita cash,2015.0,13987.49,mean.income
Own Work Years,10-14,per capita cash,2015.0,20413.602,mean.income
Own Work Years,15-19,per capita cash,2015.0,22850.606,mean.income
Own Work Years,20-24,per capita cash,2015.0,25180.252,mean.income
Own Work Years,25-29,per capita cash,2015.0,27387.693,mean.income
Own Work Years,30-34,per capita cash,2015.0,34309.504,mean.income
Own Work Years,35-39,per capita cash,2015.0,34993.681,mean.income
Own Work Years,40+,per capita cash,2015.0,49116.572,mean.income
Shared Income Quintile,bottom quintile,per capita cash,2015.0,9248.168,mean.income
