category,group,year,option,scale,baseline,Average annuity income,Average cash income,Average net annuity income,Average net cash income
Age,62-69,2015,"$150,000 tax max",equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,"$150,000 tax max",equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,"$150,000 tax max",per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,"$150,000 tax max",per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,"$180,000 tax max",equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,"$180,000 tax max",equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,"$180,000 tax max",per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,"$180,000 tax max",per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,13.4% payroll tax,equivalent,Payable law,77652.574,52866.703,67359.387,42573.516
Age,62-69,2015,13.4% payroll tax,equivalent,Scheduled law,77652.574,52866.703,67359.387,42573.516
Age,62-69,2015,13.4% payroll tax,per capita,Payable law,60907.862,41601.218,52730.176,33423.532
Age,62-69,2015,13.4% payroll tax,per capita,Scheduled law,60907.862,41601.218,52730.176,33423.532
Age,62-69,2015,14.4% payroll tax,equivalent,Payable law,77652.6,52866.729,67359.41,42573.539
Age,62-69,2015,14.4% payroll tax,equivalent,Scheduled law,77652.6,52866.729,67359.41,42573.539
Age,62-69,2015,14.4% payroll tax,per capita,Payable law,60907.888,41601.244,52730.199,33423.555
Age,62-69,2015,14.4% payroll tax,per capita,Scheduled law,60907.888,41601.244,52730.199,33423.555
Age,62-69,2015,15.4% payroll tax,equivalent,Payable law,77605.284,52863.101,67315.159,42572.976
Age,62-69,2015,15.4% payroll tax,equivalent,Scheduled law,77605.284,52863.101,67315.159,42572.976
Age,62-69,2015,15.4% payroll tax,per capita,Payable law,60875.16,41598.38,52699.677,33422.898
Age,62-69,2015,15.4% payroll tax,per capita,Scheduled law,60875.16,41598.38,52699.677,33422.898
Age,62-69,2015,75% survivor benefit,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,75% survivor benefit,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,75% survivor benefit,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,75% survivor benefit,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,90% tax max,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,90% tax max,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,90% tax max,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,90% tax max,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,90% tax max and 13.4% payroll tax,equivalent,Payable law,77652.574,52866.703,67359.387,42573.516
Age,62-69,2015,90% tax max and 13.4% payroll tax,equivalent,Scheduled law,77652.574,52866.703,67359.387,42573.516
Age,62-69,2015,90% tax max and 13.4% payroll tax,per capita,Payable law,60907.862,41601.218,52730.176,33423.532
Age,62-69,2015,90% tax max and 13.4% payroll tax,per capita,Scheduled law,60907.862,41601.218,52730.176,33423.532
Age,62-69,2015,Annual primary insurance amount,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Annual primary insurance amount,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
