"category","group","measure","year","value"
"All","All","per capita annuity",2015,58554.443
"Age","62-69","per capita annuity",2015,60858.023
"Age","70-74","per capita annuity",2015,61176.329
"Age","75-79","per capita annuity",2015,54678.636
"Age","80-84","per capita annuity",2015,58508.621
"Age","85+","per capita annuity",2015,47808.796
"Sex","Female","per capita annuity",2015,53757.845
"Sex","Male","per capita annuity",2015,64357.878
"Education","1.High School Dropout","per capita annuity",2015,24845.604
"Education","2.High School Graduate","per capita annuity",2015,42674.775
"Education","3.Some College","per capita annuity",2015,60277.845
"Education","4.College Graduate","per capita annuity",2015,99715.435
"Race Ethnicity","1.White","per capita annuity",2015,66787.515
"Race Ethnicity","2.Black","per capita annuity",2015,31830.638
"Race Ethnicity","3.Hispanic","per capita annuity",2015,26726.586
"Race Ethnicity","4.Other","per capita annuity",2015,49383.681
"Marital Status","Married","per capita annuity",2015,60854.956
"Marital Status","Widowed","per capita annuity",2015,55726.52
"Marital Status","Divorced","per capita annuity",2015,57982.251
"Marital Status","Single","per capita annuity",2015,48775.959
"Shared Work Years","0-9","per capita annuity",2015,9097.792
"Shared Work Years","10-14","per capita annuity",2015,23433.577
"Shared Work Years","15-19","per capita annuity",2015,30494.769
"Shared Work Years","20-24","per capita annuity",2015,34589.966
"Shared Work Years","25-29","per capita annuity",2015,44154.719
"Shared Work Years","30-34","per capita annuity",2015,50060.523
"Shared Work Years","35-39","per capita annuity",2015,55687.863
"Shared Work Years","40+","per capita annuity",2015,79664.624
"Own Work Years","0-9","per capita annuity",2015,23010.365
"Own Work Years","10-14","per capita annuity",2015,31378.977
"Own Work Years","15-19","per capita annuity",2015,38054.827
"Own Work Years","20-24","per capita annuity",2015,37569.117
"Own Work Years","25-29","per capita annuity",2015,42895.027
"Own Work Years","30-34","per capita annuity",2015,49796.47
"Own Work Years","35-39","per capita annuity",2015,54564.537
"Own Work Years","40+","per capita annuity",2015,75976.366
"Shared Income Quintile","bottom quintile","per capita annuity",2015,10556.084
"Shared Income Quintile","2nd quintile","per capita annuity",2015,23805.032
"Shared Income Quintile","3rd quintile","per capita annuity",2015,38058.462
"Shared Income Quintile","4th quintile","per capita annuity",2015,60662.993
"Shared Income Quintile","top quintile","per capita annuity",2015,159705.953
"Shared Lifetime Earnings Quintile","bottom quintile","per capita annuity",2015,17664.355
"Shared Lifetime Earnings Quintile","2nd quintile","per capita annuity",2015,35327.95
"Shared Lifetime Earnings Quintile","3rd quintile","per capita annuity",2015,46203.607
"Shared Lifetime Earnings Quintile","4th quintile","per capita annuity",2015,64702.907
"Shared Lifetime Earnings Quintile","top quintile","per capita annuity",2015,128880.853
"Homeownership","Home Owner","per capita annuity",2015,65952.644
"Homeownership","Renter","per capita annuity",2015,29188.465
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita annuity",2015,11736.044
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita annuity",2015,23719.789
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita annuity",2015,42531.285
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita annuity",2015,96645.023
"Per Capita Retirement Account Assets ($2015)","<0k","per capita annuity",2015,28880.359
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2015,37952.351
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2015,43158.091
"Per Capita Retirement Account Assets ($2015)","25k +","per capita annuity",2015,87906.557
"Per Capita Financial Assets ($2015)","<0k","per capita annuity",2015,14249.264
"Per Capita Financial Assets ($2015)","0k -  5k","per capita annuity",2015,24920.484
"Per Capita Financial Assets ($2015)","5k - 25k","per capita annuity",2015,34356.042
"Per Capita Financial Assets ($2015)","25k +","per capita annuity",2015,83124.972
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita annuity",2015,13243.806
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2015,18841.238
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2015,24578.843
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita annuity",2015,75041.654
"All","All","per capita cash",2015,37885.875
"Age","62-69","per capita cash",2015,41801.945
"Age","70-74","per capita cash",2015,41122.833
"Age","75-79","per capita cash",2015,34867.375
"Age","80-84","per capita cash",2015,30912.487
"Age","85+","per capita cash",2015,24036.445
"Sex","Female","per capita cash",2015,35706.198
"Sex","Male","per capita cash",2015,40523.08
"Education","1.High School Dropout","per capita cash",2015,17846.431
"Education","2.High School Graduate","per capita cash",2015,29879.529
"Education","3.Some College","per capita cash",2015,41612.34
"Education","4.College Graduate","per capita cash",2015,58252.783
"Race Ethnicity","1.White","per capita cash",2015,42004.336
"Race Ethnicity","2.Black","per capita cash",2015,26933.724
"Race Ethnicity","3.Hispanic","per capita cash",2015,21039.643
"Race Ethnicity","4.Other","per capita cash",2015,30422.34
"Marital Status","Married","per capita cash",2015,40232.618
"Marital Status","Widowed","per capita cash",2015,34148.626
"Marital Status","Divorced","per capita cash",2015,36051.301
"Marital Status","Single","per capita cash",2015,33419.851
"Shared Work Years","0-9","per capita cash",2015,7457.109
"Shared Work Years","10-14","per capita cash",2015,14782.823
"Shared Work Years","15-19","per capita cash",2015,19032.807
"Shared Work Years","20-24","per capita cash",2015,22190.387
"Shared Work Years","25-29","per capita cash",2015,26350.611
"Shared Work Years","30-34","per capita cash",2015,31149.486
"Shared Work Years","35-39","per capita cash",2015,36768.795
"Shared Work Years","40+","per capita cash",2015,52060.67
"Own Work Years","0-9","per capita cash",2015,13987.49
"Own Work Years","10-14","per capita cash",2015,20413.602
"Own Work Years","15-19","per capita cash",2015,22850.606
"Own Work Years","20-24","per capita cash",2015,25180.252
"Own Work Years","25-29","per capita cash",2015,27387.693
"Own Work Years","30-34","per capita cash",2015,34309.504
"Own Work Years","35-39","per capita cash",2015,34993.681
"Own Work Years","40+","per capita cash",2015,49116.572
"Shared Income Quintile","bottom quintile","per capita cash",2015,9248.168
"Shared Income Quintile","2nd quintile","per capita cash",2015,19446.402
"Shared Income Quintile","3rd quintile","per capita cash",2015,29473.327
"Shared Income Quintile","4th quintile","per capita cash",2015,44360.014
"Shared Income Quintile","top quintile","per capita cash",2015,86911.082
"Shared Lifetime Earnings Quintile","bottom quintile","per capita cash",2015,13671.191
"Shared Lifetime Earnings Quintile","2nd quintile","per capita cash",2015,24327.964
"Shared Lifetime Earnings Quintile","3rd quintile","per capita cash",2015,32130.811
"Shared Lifetime Earnings Quintile","4th quintile","per capita cash",2015,43804.32
"Shared Lifetime Earnings Quintile","top quintile","per capita cash",2015,75499.54
"Homeownership","Home Owner","per capita cash",2015,42128.33
